constructorStandingsId,raceId,constructorId,points,position,positionText,wins
25584,262,3,25,3,3,1
25598,263,3,31,3,3,1
25627,265,6,52,2,2,1
25641,266,6,52,2,2,1
25655,267,6,52,3,3,1
25669,268,6,58,3,3,1
25683,269,6,58,3,3,1
25697,270,6,60,3,3,1
25711,271,6,64,3,3,1
25501,272,6,71,3,3,1
4635,273,3,10,1,1,1
4643,274,1,16,1,1,1
4642,274,3,16,2,2,1
4653,275,3,26,2,2,1
4800,286,22,72,2,2,1
4813,287,22,72,3,3,1
4826,288,22,72,3,3,1
3247,289,3,16,1,1,1
3337,294,1,26,2,2,1
3425,300,22,64,2,2,1
3440,301,22,74,2,2,1
3455,302,22,77,3,3,1
3470,303,22,81,3,3,1
3485,304,22,91,3,3,1
8334,310,3,33,2,2,1
8420,315,22,30,4,4,1
8439,316,22,33,4,4,1
8458,317,22,36,4,4,1
8477,318,22,37,4,4,1
8496,319,22,37,4,4,1
8515,320,22,38.5,4,4,1
7624,321,1,9,1,1,1
7653,322,6,12,2,2,1
7643,322,1,19,1,1,1
7672,323,6,15,3,3,1
7664,323,3,15,2,2,1
7662,323,1,25,1,1,1
7691,324,6,15,3,3,1
7683,324,3,18,2,2,1
7710,325,6,21,2,2,1
7702,325,3,18,3,3,1
7721,326,3,20,3,3,1
7740,327,3,21,4,4,1
7759,328,3,27,3,3,1
7778,329,3,30,4,4,1
7893,335,22,62,3,3,1
4038,1,23,18,1,1,1
25745,37,1,32,11,NA,1
25744,37,6,23,1,1,1
8230,305,1,10,1,1,1
8306,309,22,19,2,2,1
8325,310,22,21,3,3,1
8344,311,22,21,4,4,1
8363,312,22,23,4,4,1
8382,313,22,23,4,4,1
8401,314,22,23,4,4,1
8570,3,9,19.5,2,2,1
8590,4,9,27.5,2,2,1
8600,5,9,38.5,2,2,1
8680,6,9,42.5,2,2,1
8650,7,9,56.5,2,2,1
8693,10,1,28,5,5,1
8703,11,1,41,4,4,1
8713,12,1,44,4,4,1
8721,12,6,56,3,3,1
8723,13,1,47,4,4,1
8731,13,6,62,3,3,1
8741,14,6,62,3,3,1
8761,15,6,67,3,3,1
8771,16,6,70,4,4,1
8772,356,6,9,1,1,1
8792,357,6,9,2,2,1
8793,357,1,21,1,1,1
8812,358,6,9,2,2,1
8832,359,6,9,3,3,1
8852,360,6,9,4,4,1
8872,361,6,9,4,4,1
8883,361,3,31,2,2,1
8892,362,6,15,3,3,1
8903,362,3,35,2,2,1
8912,363,6,21,3,3,1
8923,363,3,35,2,2,1
8932,364,6,25,3,3,1
8943,364,3,38,2,2,1
8963,365,3,42,2,2,1
8983,366,3,45,2,2,1
9003,367,3,52,2,2,1
9023,368,3,52,3,3,1
9043,369,3,54,3,3,1
9123,370,3,64,2,2,1
9115,370,22,31,4,4,1
9135,371,22,39,4,4,1
9152,372,1,9,1,1,1
9351,383,6,59,2,2,1
9369,384,6,61,2,2,1
